coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
IL-515,South Central Illinois CoC,94.0,59.0,35.0,42.0,51.0,85.0,5.0,7.0,0.0,193699,185950,7749,391838,4325.0,3808.0,517.0,44123.54530954119,34430.28574432649,78497.58482435918
IL-516,Decatur/Macon County CoC,169.0,158.0,11.0,100.0,69.0,87.0,3.0,71.0,1.0,48922,46452,2470,104012,3011.0,2709.0,302.0,48151.0,24248.19132061031,70211.28705133851
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",211.0,195.0,16.0,125.0,86.0,134.0,8.0,66.0,0.0,266458,254485,11973,530877,9883.0,9044.0,839.0,44373.12759641122,47232.601614898274,94746.25868478592
IL-519,West Central Illinois CoC,68.0,66.0,2.0,27.0,40.0,51.0,2.0,10.0,0.0,105126,101081,4045,216235,4006.0,3492.0,514.0,42569.458838763385,38346.358568723874,83471.12852872405
IL-520,Southern Illinois CoC,294.0,239.0,55.0,144.0,150.0,214.0,19.0,65.0,0.0,229844,220253,9591,492171,9373.0,8247.0,1126.0,40940.52495169362,25057.902565493718,67777.34608285347
IN-502,Indiana Balance of State CoC,3904.0,3367.0,537.0,2201.0,1690.0,2735.0,199.0,976.0,15.0,2677169,2589162,88007,5302110,64447.0,58361.0,6086.0,47861.93371148467,92188.57224770168,157168.99610876435
IN-503,Indianapolis CoC,1567.0,1462.0,105.0,1045.0,515.0,554.0,45.0,956.0,10.0,497466,481261,16205,963829,16478.0,14665.0,1813.0,56383.0,71449.52842326758,140483.31065617673
KS-502,Wichita/Sedgwick County CoC,593.0,536.0,57.0,401.0,192.0,352.0,66.0,181.0,10.0,255062,245943,9119,516579,5425.0,4774.0,651.0,54385.0,67127.94797948061,136478.120607482
KS-503,Topeka/Shawnee County CoC,441.0,373.0,68.0,275.0,166.0,276.0,42.0,100.0,2.0,91284,88136,3148,176735,3199.0,2847.0,352.0,48091.0,60394.43871006667,127584.57513987926
KS-505,"Overland Park, Shawnee/Johnson County CoC",189.0,150.0,39.0,82.0,107.0,110.0,13.0,52.0,4.0,343289,333470,9819,602948,3470.0,3365.0,105.0,78670.0,203956.10418057014,292528.32330467424
KS-507,Kansas Balance of State CoC,1056.0,822.0,234.0,615.0,440.0,716.0,114.0,166.0,2.0,737164,713457,23707,1450364,17833.0,14910.0,2923.0,44973.278874130905,60887.4452290882,110777.14180926065
KY-500,Kentucky Balance of State CoC,2221.0,1571.0,650.0,1214.0,1004.0,1840.0,56.0,271.0,1.0,1494001,1429876,64125,3380638,56888.0,51273.0,5615.0,40739.804473593445,58814.560289282934,121236.1944600248
KY-501,Louisville-Jefferson County CoC,1071.0,953.0,118.0,753.0,318.0,498.0,53.0,481.0,2.0,399366,383947,15419,767785,21224.0,18040.0,3184.0,54293.0,90650.91040986693,172283.272063165
KY-502,Lexington-Fayette County CoC,787.0,776.0,11.0,525.0,262.0,529.0,38.0,207.0,8.0,175611,170050,5561,323922,6484.0,5641.0,843.0,51983.0,118944.11839055081,191747.83037154595
MA-500,Boston CoC,6242.0,6121.0,121.0,3286.0,2941.0,2154.0,2663.0,2946.0,61.0,463611,451029,12582,805915,53574.0,49823.0,3751.0,84307.0,373929.1741341306,552303.2892571787
MA-502,Lynn CoC,1035.0,1030.0,5.0,444.0,590.0,697.0,572.0,303.0,4.0,432463,419054,13409,789725,20449.0,19017.0,1432.0,68854.0,309811.7723623674,448751.239720044
MA-503,Cape Cod Islands CoC,371.0,333.0,38.0,174.0,196.0,272.0,50.0,78.0,1.0,125424,120344,5080,230384,3639.0,3286.0,353.0,76231.96783630807,327063.65646442195,471079.5101174627
MA-504,Springfield/Hampden County CoC,2443.0,2401.0,42.0,1125.0,1316.0,1399.0,1419.0,457.0,8.0,231504,221632,9872,465749,20198.0,18784.0,1414.0,52905.0,153952.82720143732,216735.00455200064
MA-505,New Bedford CoC,433.0,380.0,53.0,236.0,197.0,244.0,110.0,115.0,0.0,305573,293704,11869,565096,15129.0,14372.0,757.0,55411.0,237043.87093775443,333532.52162023465
MA-506,Worcester City & County CoC,1593.0,1424.0,169.0,827.0,760.0,1165.0,623.0,373.0,23.0,452272,437449,14823,829327,18529.0,17973.0,556.0,58196.0,204886.63593177169,298244.80309655546
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",546.0,512.0,34.0,326.0,217.0,402.0,121.0,91.0,1.0,198317,192186,6131,357089,7823.0,7380.0,443.0,55439.768573100824,167590.2434434361,249122.40492911282
MA-509,Cambridge CoC,555.0,497.0,58.0,351.0,197.0,301.0,106.0,222.0,5.0,935440,912957,22483,1611263,33382.0,30711.0,2671.0,86525.0,352616.83947685454,540343.6038553946
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1088.0,1075.0,13.0,546.0,540.0,551.0,192.0,497.0,4.0,289126,280017,9109,521841,9534.0,9152.0,382.0,68792.0,285407.99853838846,400960.04536590277
MA-515,Fall River CoC,320.0,316.0,4.0,150.0,170.0,185.0,105.0,114.0,3.0,305573,293704,11869,565096,15129.0,14372.0,757.0,55411.0,237043.87093775443,333532.52162023465
MA-519,"Attleboro, Taunton/Bristol County CoC",256.0,222.0,34.0,137.0,118.0,131.0,98.0,115.0,1.0,305573,293704,11869,565096,15129.0,14372.0,757.0,55411.0,237043.87093775443,333532.52162023465
MD-502,Harford County CoC,228.0,205.0,23.0,127.0,100.0,116.0,24.0,83.0,1.0,146415,141813,4602,255594,3287.0,2826.0,461.0,59653.0,182836.39300835668,282113.8844219464
MD-503,Annapolis/Anne Arundel County CoC,302.0,241.0,61.0,189.0,112.0,164.0,6.0,118.0,1.0,327478,318030,9448,579895,6030.0,5246.0,784.0,68314.0,241673.2594162011,352336.4899738501
MD-504,Howard County CoC,201.0,129.0,72.0,107.0,93.0,45.0,9.0,132.0,2.0,195361,190301,5060,325951,3740.0,3104.0,636.0,78033.0,297884.6186999967,448731.28403176606
MD-505,Baltimore County CoC,735.0,486.0,249.0,391.0,344.0,253.0,12.0,439.0,3.0,468143,451794,16349,828503,12145.0,10080.0,2065.0,62543.0,157329.0931471735,244630.77647450275
MD-506,Carroll County CoC,144.0,121.0,23.0,84.0,57.0,111.0,3.0,15.0,0.0,98869,96144,2725,168774,1381.0,1325.0,56.0,63409.0,226224.38227831505,329298.4004492609
MD-509,Frederick City & County CoC,286.0,208.0,78.0,204.0,82.0,183.0,14.0,81.0,2.0,140663,136461,4202,260609,2343.0,2249.0,94.0,62804.0,228699.60302112077,335062.0960781555
MD-511,Mid-Shore Regional CoC,164.0,146.0,18.0,80.0,84.0,83.0,13.0,66.0,0.0,65322,62923,2399,121985,1704.0,1496.0,208.0,56482.432143296304,122363.54470856792,223626.86769397598
MD-513,"Wicomico, Somerset, Worcester Counties CoC",275.0,238.0,37.0,164.0,110.0,116.0,3.0,152.0,0.0,87907,83179,4728,181875,2865.0,2399.0,466.0,44079.691947766325,96513.3311851336,178440.39316073744
MD-601,Montgomery County CoC,647.0,572.0,75.0,369.0,277.0,183.0,94.0,388.0,20.0,576770,560710,16060,1051129,12666.0,11652.0,1014.0,86221.0,288464.4109297738,467334.4881321585
ME-500,Maine Balance of State CoC,2106.0,2011.0,95.0,1094.0,995.0,1581.0,100.0,375.0,9.0,697789,677458,20331,1345770,26608.0,24454.0,2154.0,50421.08289009266,141441.7117186658,215496.00070286283
MI-500,Michigan Balance of State CoC,1298.0,1164.0,134.0,633.0,660.0,1070.0,77.0,113.0,8.0,895495,852873,42622,1938848,23335.0,21598.0,1737.0,41571.97788738467,52299.233854321734,116025.87783756338
MI-501,Detroit CoC,1965.0,1879.0,86.0,1325.0,639.0,180.0,30.0,1739.0,0.0,818098,777272,40826,1750093,42971.0,38673.0,4298.0,44308.0,28180.27592343163,99493.57868430098
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",222.0,205.0,17.0,114.0,107.0,92.0,8.0,108.0,5.0,818098,777272,40826,1750093,42971.0,38673.0,4298.0,44308.0,28180.27592343163,99493.57868430098
MI-503,"St. Clair Shores, Warren/Macomb County CoC",265.0,245.0,20.0,158.0,107.0,116.0,11.0,136.0,1.0,457368,438286,19082,872389,9201.0,8372.0,829.0,47730.0,101050.08481375327,173404.8709687548
MI-504,"Pontiac, Royal Oak/Oakland County CoC",425.0,382.0,43.0,237.0,187.0,136.0,12.0,260.0,2.0,689483,666319,23164,1257726,12520.0,11142.0,1378.0,73468.0,148811.60637199553,251275.95201845255
MI-505,Flint/Genesee County CoC,450.0,402.0,48.0,295.0,155.0,97.0,47.0,344.0,0.0,181707,172581,9126,405702,6608.0,5748.0,860.0,41940.0,26810.730701514036,107024.20285514387
MI-506,"Grand Rapids, Wyoming/Kent County CoC",759.0,743.0,16.0,440.0,316.0,321.0,106.0,382.0,1.0,362274,351702,10572,656800,10911.0,10256.0,655.0,53799.0,144283.60553226186,214468.45022412727
MI-507,"Portage, Kalamazoo City & County CoC",702.0,529.0,173.0,414.0,288.0,269.0,41.0,396.0,6.0,134327,129858,4469,265531,4171.0,3920.0,251.0,49305.0,93131.74347807567,167301.88713084793
MI-508,"Lansing, East Lansing/Ingham County CoC",476.0,466.0,10.0,272.0,202.0,212.0,30.0,201.0,2.0,151464,146063,5401,291426,6148.0,5656.0,492.0,41298.0,62245.16285674918,129591.99365618132
MI-509,Washtenaw County CoC,273.0,261.0,12.0,172.0,100.0,113.0,11.0,142.0,1.0,199232,193476,5756,368242,5927.0,5393.0,534.0,61101.0,170954.42231482113,285287.43319186824
MI-510,Saginaw City & County CoC,364.0,352.0,12.0,204.0,160.0,169.0,89.0,163.0,1.0,86970,82781,4189,190484,4116.0,3869.0,247.0,41659.0,29620.885531421918,87612.182815318
MI-511,Lenawee County CoC,123.0,120.0,3.0,50.0,73.0,91.0,26.0,23.0,0.0,46518,44693,1825,98519,609.0,584.0,25.0,40866.0,66679.96701243338,140281.71827200468
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",168.0,164.0,4.0,110.0,57.0,147.0,11.0,3.0,1.0,87523,83933,3590,173834,968.0,881.0,87.0,51755.79154825868,113067.50452904336,208745.51321784957
MI-514,Battle Creek/Calhoun County CoC,241.0,203.0,38.0,163.0,76.0,129.0,13.0,96.0,1.0,62615,60018,2597,133806,2508.0,2232.0,276.0,40428.0,41503.641526841435,98629.2621478582
MI-515,Monroe City & County CoC,167.0,167.0,0.0,81.0,86.0,112.0,9.0,46.0,1.0,75885,72902,2983,150412,1902.0,1787.0,115.0,48696.0,99088.42177405111,171529.29845399893
MI-516,"Norton Shores, Muskegon City & County CoC",136.0,120.0,16.0,83.0,53.0,77.0,8.0,52.0,1.0,77412,74072,3340,173645,2527.0,2324.0,203.0,39769.0,61139.698919272574,129903.0745847547
MI-517,Jackson City & County CoC,113.0,100.0,13.0,66.0,47.0,71.0,6.0,33.0,0.0,74743,71920,2823,158357,2509.0,2383.0,126.0,40413.0,63109.132245350826,135010.75553396947
MI-518,Livingston County CoC,89.0,89.0,0.0,43.0,46.0,78.0,7.0,8.0,0.0,106170,102733,3437,192058,416.0,386.0,30.0,59097.0,175565.57487024192,266321.43218969513
MI-519,Holland/Ottawa County CoC,225.0,208.0,17.0,120.0,105.0,175.0,38.0,28.0,10.0,162118,157601,4517,291460,1025.0,973.0,52.0,49484.0,160360.146014641,225270.20021647064
MI-523,Eaton County CoC,114.0,114.0,0.0,46.0,68.0,85.0,6.0,13.0,0.0,57608,55626,1982,110119,1045.0,971.0,74.0,43537.0,102980.03195135722,169622.04408119989
MN-500,Minneapolis/Hennepin County CoC,3400.0,2797.0,603.0,1935.0,1451.0,745.0,228.0,1973.0,26.0,711222,691369,19853,1265159,26087.0,24000.0,2087.0,76131.0,201394.1384290832,292903.15154790576
MN-501,St. Paul/Ramsey County CoC,1579.0,1262.0,317.0,952.0,616.0,422.0,121.0,888.0,52.0,290194,281441,8753,549632,14388.0,10934.0,3454.0,55442.0,176355.55674925167,245094.36314440216
MN-502,Rochester/Southeast Minnesota CoC,452.0,394.0,58.0,202.0,249.0,253.0,57.0,160.0,3.0,383515,371562,11953,678212,9755.0,8704.0,1051.0,50851.16051028292,121684.57817202488,191585.4843708138
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties CoC",686.0,450.0,236.0,340.0,341.0,364.0,36.0,210.0,17.0,733512,712139,21373,1303664,9899.0,9473.0,426.0,61950.864195068665,209342.74387466552,291440.6360250518
MN-504,Northeast Minnesota CoC,90.0,62.0,28.0,49.0,41.0,77.0,5.0,0.0,0.0,61981,58686,3295,125222,1968.0,1729.0,239.0,45272.3447317564,78078.79303473761,152989.26115757556
MN-505,St. Cloud/Central Minnesota CoC,679.0,466.0,213.0,326.0,351.0,343.0,26.0,94.0,7.0,410753,394702,16051,759790,6885.0,6355.0,530.0,47329.215022572025,146312.5132833455,217804.26115034355
MN-506,Northwest Minnesota CoC,268.0,260.0,8.0,149.0,119.0,111.0,23.0,7.0,0.0,88150,84016,4134,166014,3223.0,2674.0,549.0,46674.62649535581,71592.69899509723,149482.03029893796
MN-508,Moorhead/West Central Minnesota CoC,216.0,215.0,1.0,106.0,108.0,130.0,29.0,33.0,1.0,134421,129501,4920,245816,4316.0,3669.0,647.0,47221.60505418687,112902.2891243917,195035.158406561
MN-511,Southwest Minnesota CoC,88.0,82.0,6.0,42.0,45.0,51.0,23.0,26.0,2.0,149502,144052,5450,268148,4560.0,3769.0,791.0,49833.508584811374,67428.06862493009,137117.8740468138
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",438.0,311.0,127.0,230.0,206.0,305.0,15.0,105.0,0.0,47593,46136,1457,94756,1507.0,1180.0,327.0,41741.60433112415,100840.58236125082,188528.51645991165
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",492.0,411.0,81.0,270.0,219.0,372.0,36.0,66.0,5.0,213180,207382,5798,422056,3078.0,2861.0,217.0,43950.40572341111,96000.08143667736,158053.5441303898
MO-602,"Joplin/Jasper, Newton Counties CoC",237.0,188.0,49.0,161.0,75.0,212.0,5.0,15.0,0.0,84053,81507,2546,179557,2285.0,2127.0,158.0,40690.39489410048,65361.68632648469,123213.7654772151
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",255.0,218.0,37.0,134.0,121.0,187.0,14.0,33.0,1.0,58801,57060,1741,115713,2252.0,2040.0,212.0,40582.23082972527,49610.267683400896,112707.47722385816
MO-606,Missouri Balance of State CoC,1362.0,1003.0,359.0,651.0,704.0,987.0,80.0,284.0,5.0,1150502,1110748,39754,2451151,28083.0,24019.0,4064.0,40286.966829052966,68818.16038556509,132033.89404288042
MS-500,"Jackson/Rankin, Madison Counties CoC",408.0,302.0,106.0,269.0,124.0,142.0,1.0,249.0,0.0,268128,254999,13129,567171,10360.0,9700.0,660.0,46160.2100971312,69046.42241386634,135661.80030860077
MS-501,Mississippi Balance of State CoC,480.0,291.0,189.0,299.0,181.0,220.0,22.0,250.0,0.0,796484,751569,44915,1885324,33976.0,31629.0,2347.0,37373.592118383895,55518.360799565635,109465.92840980276
MS-503,Gulf Port/Gulf Coast Regional CoC,296.0,105.0,191.0,184.0,112.0,199.0,5.0,75.0,6.0,204030,192369,11661,497395,10294.0,9949.0,345.0,37796.15102483941,67788.51711574954,134496.7243250588
MT-500,Montana Statewide CoC,1357.0,1012.0,345.0,793.0,555.0,905.0,146.0,36.0,8.0,543742,524685,19057,1070123,13806.0,11978.0,1828.0,50099.2834571353,174939.6581829832,265040.551683529
NC-500,Winston-Salem/Forsyth County CoC,454.0,430.0,24.0,349.0,105.0,160.0,20.0,279.0,0.0,186866,179938,6928,382118,7745.0,6815.0,930.0,48756.0,85179.45538875468,160135.15816422165
NC-501,Asheville/Buncombe County CoC,580.0,502.0,78.0,428.0,149.0,364.0,12.0,165.0,0.0,139343,135189,4154,262049,4408.0,3746.0,662.0,50804.0,194559.41503182295,288334.06714600837
NC-502,Durham City & County CoC,361.0,280.0,81.0,250.0,111.0,68.0,12.0,276.0,0.0,171663,165859,5804,322969,5641.0,5020.0,621.0,51380.0,164338.98319942012,248597.69998395198
NC-503,North Carolina Balance of State CoC,2989.0,2139.0,850.0,1727.0,1257.0,1696.0,121.0,1112.0,12.0,2325295,2231313,93982,5222632,63120.0,56809.0,6311.0,41807.54077541745,83987.93771882946,160261.07336800467
NC-504,"Greensboro, High Point CoC",586.0,525.0,61.0,413.0,173.0,126.0,23.0,420.0,1.0,260375,249769,10606,537872,10457.0,5333.0,5124.0,47013.0,76102.81821138186,157664.55102865107
NC-505,Charlotte/Mecklenburg County CoC,1742.0,1546.0,196.0,1007.0,730.0,286.0,67.0,1402.0,8.0,615263,592866,22397,1113283,10835.0,7476.0,3359.0,62846.0,166852.19497273045,250739.165035459
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",431.0,269.0,162.0,276.0,154.0,272.0,27.0,134.0,0.0,204261,195961,8300,440308,4630.0,3650.0,980.0,46135.409790419435,158531.0449546509,254255.6521018016
NC-507,Raleigh/Wake County CoC,970.0,734.0,236.0,604.0,358.0,289.0,44.0,623.0,6.0,586424,566568,19856,1112795,7384.0,7088.0,296.0,62657.0,204624.24690705395,312110.08468423376
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",324.0,252.0,72.0,178.0,146.0,221.0,9.0,92.0,0.0,200839,193203,7636,409243,4784.0,4555.0,229.0,42006.8593231894,82566.55329214799,162218.68488583842
NC-511,Fayetteville/Cumberland County CoC,329.0,103.0,226.0,193.0,136.0,104.0,19.0,205.0,0.0,126717,120305,6412,336524,3867.0,3712.0,155.0,39799.0,53895.77165642337,119441.81889695753
NC-513,Chapel Hill/Orange County CoC,131.0,102.0,29.0,89.0,42.0,50.0,5.0,67.0,3.0,79247,76619,2628,148192,1194.0,1014.0,180.0,65530.0,173146.10587408097,303613.72607623937
NC-516,Northwest North Carolina CoC,417.0,164.0,253.0,202.0,215.0,356.0,52.0,57.0,1.0,97187,93505,3682,213399,2729.0,2635.0,94.0,37620.721802820066,95800.03279931586,175152.8809190175
ND-500,North Dakota Statewide CoC,557.0,545.0,12.0,378.0,178.0,322.0,82.0,90.0,1.0,380279,372206,8073,694302,12546.0,9781.0,2765.0,58737.94056332835,124351.54764542142,199594.1983786064
NE-500,Nebraska Balance of State CoC,506.0,486.0,20.0,271.0,233.0,438.0,99.0,26.0,1.0,457513,443361,14152,835860,11663.0,10219.0,1444.0,49816.70965472687,73117.85755833777,140849.46558745418
NE-501,"Omaha, Council Bluffs CoC",1410.0,1364.0,46.0,972.0,436.0,892.0,127.0,385.0,9.0,451858,437544,14314,851158,12864.0,11590.0,1274.0,58811.55821833314,122804.64163770825,194271.55290154897
NE-502,Lincoln CoC,449.0,405.0,44.0,251.0,197.0,250.0,35.0,135.0,3.0,179931,174823,5108,318403,4370.0,4020.0,350.0,50510.0,137899.15730298427,200295.84051793
NH-500,New Hampshire Balance of State CoC,669.0,574.0,95.0,351.0,309.0,580.0,45.0,29.0,2.0,535523,521980,13543,943045,13461.0,12643.0,818.0,64242.759311591704,187600.45326386788,276757.4386107776
NH-501,Manchester CoC,461.0,410.0,51.0,251.0,207.0,366.0,62.0,48.0,2.0,245015,238537,6478,417738,8076.0,7672.0,404.0,62752.0,217546.76129353663,304179.05957135174
NH-502,Nashua/Hillsborough County CoC,266.0,263.0,3.0,156.0,110.0,226.0,58.0,23.0,5.0,245015,238537,6478,417738,8076.0,7672.0,404.0,62752.0,217546.76129353663,304179.05957135174
NJ-500,Atlantic City & County CoC,357.0,261.0,96.0,259.0,98.0,165.0,49.0,168.0,8.0,125970,119780,6190,263653,7573.0,6815.0,758.0,51247.0,104072.77986773557,188208.85555151032
NJ-501,Bergen County CoC,271.0,267.0,4.0,142.0,128.0,160.0,75.0,92.0,10.0,502296,488074,14222,932256,11615.0,11150.0,465.0,88241.0,330989.4592267,465431.11618214566
NJ-502,Burlington County CoC,518.0,495.0,23.0,256.0,261.0,184.0,48.0,289.0,3.0,240757,233093,7664,446160,1773.0,1737.0,36.0,63528.0,141032.5352751794,231957.8298276919
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",979.0,760.0,219.0,622.0,355.0,467.0,137.0,480.0,2.0,535942,512997,22945,1039587,20996.0,19978.0,1018.0,54267.982002468285,106342.46347076591,191610.07152583048
NJ-504,Newark/Essex County CoC,2235.0,1897.0,338.0,1277.0,949.0,391.0,338.0,1787.0,2.0,386078,369373,16705,802162,34092.0,30682.0,3410.0,65927.0,225008.17923290306,383821.0875363911
NJ-506,"Jersey City, Bayonne/Hudson County CoC",890.0,623.0,267.0,603.0,286.0,387.0,292.0,480.0,11.0,376142,364173,11969,674030,23830.0,22400.0,1430.0,67570.0,262729.4317005044,425919.4004968782
NJ-507,New Brunswick/Middlesex County CoC,620.0,485.0,135.0,367.0,253.0,299.0,236.0,274.0,4.0,455419,441596,13823,824394,10236.0,9724.0,512.0,62665.0,222031.60621446036,332655.8843522794
NJ-508,Monmouth County CoC,359.0,305.0,54.0,214.0,145.0,190.0,89.0,149.0,1.0,341346,330796,10550,619687,10560.0,9609.0,951.0,82270.0,269188.85535072704,425497.14004781144
NJ-509,Morris County CoC,388.0,346.0,42.0,238.0,149.0,282.0,62.0,90.0,3.0,267808,260524,7284,491577,3797.0,3683.0,114.0,99140.0,286666.64871636155,430190.4858735318
NJ-510,Lakewood Township/Ocean County CoC,305.0,275.0,30.0,164.0,138.0,201.0,52.0,86.0,0.0,289325,279014,10311,607498,5748.0,5518.0,230.0,53517.0,182921.0425446025,294246.04127137986
NJ-511,Paterson/Passaic County CoC,391.0,274.0,117.0,222.0,168.0,179.0,129.0,181.0,3.0,252808,242201,10607,501838,11766.0,10707.0,1059.0,51203.0,232161.71295403445,333210.663235792
NJ-512,Salem County CoC,29.0,29.0,0.0,13.0,16.0,7.0,7.0,22.0,0.0,30428,28998,1430,62341,1476.0,1431.0,45.0,50597.0,60611.082729900336,139104.42551922108
NJ-513,Somerset County CoC,301.0,295.0,6.0,170.0,131.0,139.0,40.0,141.0,9.0,178462,173269,5193,329998,2192.0,2126.0,66.0,110466.0,258495.11989672921,408309.12240845436
NJ-514,Trenton/Mercer County CoC,448.0,364.0,84.0,308.0,140.0,146.0,96.0,287.0,3.0,211808,205315,6493,368047,7922.0,7367.0,555.0,70675.0,109959.42603221977,244608.5212305947
NJ-515,Elizabeth/Union County CoC,437.0,398.0,39.0,229.0,208.0,104.0,112.0,306.0,4.0,288808,278481,10327,556664,9672.0,8898.0,774.0,68867.0,238955.36752561343,362622.01687840093
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",334.0,306.0,28.0,180.0,154.0,244.0,29.0,81.0,2.0,202871,196611,6260,371366,3707.0,3543.0,164.0,71528.97078892522,176474.00619546167,286249.8588100333
NM-500,Albuquerque CoC,1524.0,957.0,567.0,1005.0,503.0,941.0,626.0,108.0,15.0,334206,319073,15133,679425,9537.0,8583.0,954.0,45203.0,147753.30357730825,207573.31292091895
NM-501,New Mexico Balance of State CoC,1717.0,1025.0,692.0,925.0,775.0,901.0,736.0,84.0,2.0,478005,453959,24046,1084264,12777.0,10480.0,2297.0,43945.100079869844,103654.61090778653,184217.11924618838
NV-500,Las Vegas/Clark County CoC,5530.0,2213.0,3317.0,3916.0,1586.0,2973.0,733.0,2046.0,126.0,1134950,1086341,48609,2275884,16010.0,15849.0,161.0,49225.0,207314.00541781445,298107.7555908914
NV-501,"Reno, Sparks/Washoe County CoC",1256.0,1030.0,226.0,887.0,365.0,953.0,199.0,161.0,18.0,255919,247198,8721,472381,5011.0,4459.0,552.0,62994.0,267898.875393452,382581.15914894984
NV-502,Nevada Balance of State CoC,383.0,119.0,264.0,239.0,144.0,371.0,16.0,3.0,0.0,127621,122418,5203,283664,1139.0,929.0,210.0,49543.60402095437,160648.63474089126,261846.17704193166
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",849.0,814.0,35.0,549.0,298.0,329.0,159.0,463.0,4.0,370978,356235,14743,742605,18726.0,17415.0,1311.0,54174.0,100846.59198559549,160466.26775054785
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",240.0,233.0,7.0,127.0,113.0,199.0,1.0,31.0,1.0,138982,132969,6013,305352,5282.0,4850.0,432.0,44631.19694319998,57823.30260704702,106790.82704864217
NY-503,Albany City & County CoC,750.0,716.0,34.0,542.0,205.0,294.0,107.0,388.0,8.0,161257,155650,5607,304752,8783.0,7641.0,1142.0,61876.0,161913.1377410578,237104.14667489452
