coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",732.0,719.0,13.0,458.0,269.0,387.0,74.0,263.0,2.0,316265,303479,12786,654254,15129.0,13784.0,1345.0,51010.61724956974,85862.11784238149,139053.83642180875
NY-507,Schenectady City & County CoC,372.0,350.0,22.0,217.0,155.0,164.0,65.0,140.0,1.0,78250,75383,2867,155548,3737.0,3475.0,262.0,54310.0,120168.63222241044,183462.8530193216
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",924.0,891.0,33.0,519.0,401.0,387.0,99.0,452.0,3.0,620945,595051,25894,1265999,31149.0,28318.0,2831.0,50382.05521884299,101598.21391657452,164550.0460587244
NY-510,Ithaca/Tompkins County CoC,171.0,171.0,0.0,98.0,73.0,100.0,14.0,47.0,0.0,50489,48733,1756,101971,2727.0,2536.0,191.0,46052.0,140262.7090476839,219121.92725693915
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties CoC",318.0,309.0,9.0,222.0,96.0,279.0,11.0,30.0,4.0,202663,193799,8864,437305,5800.0,4978.0,822.0,44542.1941939836,68371.55863612302,118425.64308226563
NY-512,Troy/Rensselaer County CoC,199.0,189.0,10.0,100.0,96.0,76.0,33.0,114.0,1.0,83111,80119,2992,158981,2469.0,2913.0,-444.0,50481.0,128677.60571986593,194204.39112190576
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",205.0,204.0,1.0,119.0,86.0,157.0,27.0,47.0,0.0,130427,125562,4865,258891,4088.0,3742.0,346.0,49534.30488893009,90404.10142565082,153517.14088629675
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",96.0,96.0,0.0,50.0,46.0,83.0,36.0,10.0,0.0,55549,53048,2501,126636,2611.0,2402.0,209.0,41443.0,46741.99263617446,91935.72550577384
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",168.0,154.0,14.0,96.0,69.0,114.0,14.0,39.0,2.0,166288,159262,7026,360471,8187.0,7304.0,883.0,45775.829032016445,73758.9963623095,126996.46826514644
NY-519,"Columbia, Greene Counties CoC",200.0,196.0,4.0,99.0,99.0,125.0,19.0,55.0,0.0,52626,50763,1863,106793,1558.0,1379.0,179.0,53515.8106711114,136803.83615097334,216864.06766174673
NY-520,"Franklin, Essex Counties CoC",24.0,21.0,3.0,17.0,7.0,20.0,1.0,0.0,2.0,37386,35659,1727,87089,1958.0,1813.0,145.0,42713.971190391436,55787.3045037086,119505.60710538042
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",53.0,49.0,4.0,25.0,28.0,44.0,0.0,6.0,0.0,56810,53788,3022,136472,3172.0,2940.0,232.0,48556.06435019638,73596.87539750508,136140.65197743758
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",268.0,261.0,7.0,162.0,106.0,201.0,31.0,50.0,5.0,185080,178501,6579,359221,4300.0,3902.0,398.0,63761.20911917733,158479.3942502962,241254.67588394857
NY-600,New York City CoC,78604.0,74982.0,3622.0,41302.0,36904.0,14736.0,28369.0,58170.0,1052.0,4266067,4098032,168035,8342925,394179.0,364734.0,29445.0,77027.7769560436,301389.03474710346,598912.991415454
NY-601,Poughkeepsie/Dutchess County CoC,533.0,523.0,10.0,269.0,263.0,247.0,82.0,261.0,0.0,148361,143255,5106,293934,4686.0,3983.0,703.0,58417.0,201798.613642761,288680.25886660843
NY-602,"Newburgh, Middletown/Orange County CoC",589.0,538.0,51.0,323.0,266.0,265.0,125.0,245.0,0.0,191721,184795,6926,384950,5273.0,4640.0,633.0,53287.0,166489.63246487072,261030.6672089093
NY-603,"Nassau, Suffolk Counties CoC",3843.0,3797.0,46.0,1836.0,2006.0,1388.0,729.0,2186.0,33.0,1526356,1474329,52027,2834398,25382.0,22349.0,3033.0,81738.63730746352,351587.432321162,480758.6544499795
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",1812.0,1780.0,32.0,913.0,898.0,532.0,471.0,1238.0,5.0,498184,480302,17882,968467,22972.0,21363.0,1609.0,112037.0,371571.6833749733,587863.9388260263
NY-606,Rockland County CoC,182.0,139.0,43.0,118.0,63.0,94.0,37.0,65.0,1.0,159731,154304,5427,326352,6395.0,5691.0,704.0,62206.0,304451.4785648916,448080.01197949913
NY-608,Kingston/Ulster County CoC,432.0,390.0,42.0,218.0,213.0,289.0,53.0,96.0,9.0,89940,86710,3230,177933,3408.0,2964.0,444.0,52554.0,152094.93466959088,235171.8631206395
OH-500,Cincinnati/Hamilton County CoC,1082.0,1051.0,31.0,721.0,356.0,405.0,13.0,639.0,1.0,420158,404026,16132,818653,25299.0,23781.0,1518.0,61458.0,87741.27947964624,162475.10756456843
OH-501,Toledo/Lucas County CoC,611.0,599.0,12.0,341.0,270.0,261.0,45.0,305.0,0.0,211993,202047,9946,428888,12188.0,11334.0,854.0,47719.0,34475.839524182345,100210.35556826234
OH-502,Cleveland/Cuyahoga County CoC,1618.0,1512.0,106.0,1091.0,519.0,405.0,79.0,1172.0,6.0,627902,601190,26712,1235574,38440.0,35364.0,3076.0,55998.0,60631.04013757375,129111.22093798022
OH-503,Columbus/Franklin County CoC,1907.0,1525.0,382.0,1144.0,756.0,561.0,71.0,1213.0,4.0,703584,678439,25145,1318766,24534.0,22325.0,2209.0,51467.0,93426.0801617983,185258.37166226978
OH-504,Youngstown/Mahoning County CoC,148.0,139.0,9.0,117.0,31.0,83.0,9.0,56.0,0.0,104172,98147,6025,227510,5265.0,4896.0,369.0,44315.0,30856.88531483586,87057.32621805162
OH-505,"Dayton, Kettering/Montgomery County CoC",681.0,632.0,49.0,446.0,228.0,319.0,18.0,316.0,2.0,254041,243251,10790,532139,12353.0,11611.0,742.0,48143.0,49846.42839893082,112896.79778891947
OH-506,Akron/Summit County CoC,546.0,459.0,87.0,322.0,224.0,279.0,6.0,235.0,7.0,274992,263139,11853,540814,13809.0,13532.0,277.0,53580.0,61568.0872732427,135378.45931666213
OH-507,Ohio Balance of State CoC,3479.0,2665.0,814.0,1880.0,1597.0,2714.0,140.0,592.0,5.0,2579791,2468490,111301,5236343,76343.0,70296.0,6047.0,45606.40314757838,72881.50499740895,138703.85324448295
OH-508,"Canton, Massillon, Alliance/Stark County CoC",273.0,256.0,17.0,123.0,150.0,153.0,8.0,78.0,1.0,187369,178826,8543,370723,6527.0,6070.0,457.0,46384.0,59968.8906600929,129120.47553363464
OK-500,North Central Oklahoma CoC,178.0,171.0,7.0,92.0,86.0,127.0,12.0,11.0,0.0,98826,95809,3017,218558,2225.0,2099.0,126.0,41637.00571930563,42005.48298557364,104993.1309192855
OK-501,Tulsa City & County CoC,1188.0,892.0,296.0,793.0,389.0,630.0,85.0,266.0,6.0,323631,313843,9788,652166,13022.0,11850.0,1172.0,64444.0,65361.20031029961,141479.9444158574
OK-503,Oklahoma Balance of State CoC,279.0,113.0,166.0,157.0,122.0,204.0,15.0,26.0,1.0,151156,146915,4241,316678,2846.0,2520.0,326.0,43115.643129614306,38747.62698790952,96616.91563526612
OK-504,Norman/Cleveland County CoC,347.0,132.0,215.0,244.0,103.0,297.0,7.0,18.0,1.0,142910,139031,3879,284537,2168.0,2211.0,-43.0,46488.0,106140.12855975532,167183.22824038484
OK-505,Northeast Oklahoma CoC,228.0,157.0,71.0,142.0,86.0,145.0,17.0,12.0,2.0,127358,122939,4419,303867,2435.0,2236.0,199.0,39198.35776178394,43823.994539632455,98319.72571178636
OK-506,Southwest Oklahoma Regional CoC,158.0,136.0,22.0,108.0,50.0,90.0,9.0,44.0,0.0,174373,168705,5668,403150,3964.0,3566.0,398.0,42160.946446731985,36350.92343060507,95388.44608990526
OK-507,Southeastern Oklahoma Regional CoC,293.0,217.0,76.0,165.0,128.0,193.0,18.0,30.0,0.0,259035,249349,9686,610077,9514.0,8394.0,1120.0,38906.18866143126,36388.80286737415,91349.45907635927
OR-500,"Eugene, Springfield/Lane County CoC",2165.0,532.0,1633.0,1513.0,640.0,1793.0,165.0,78.0,6.0,180006,172825,7181,382064,5216.0,4955.0,261.0,45960.0,226044.620001785,306796.13458434126
OR-501,"Portland, Gresham/Multnomah County CoC",4015.0,1978.0,2037.0,2531.0,1399.0,2704.0,382.0,568.0,47.0,451303,436664,14639,812439,15963.0,14685.0,1278.0,59402.0,300891.28292392934,405313.3074107517
OR-502,"Medford, Ashland/Jackson County CoC",712.0,348.0,364.0,473.0,236.0,596.0,87.0,21.0,1.0,103404,98980,4424,220815,2964.0,2904.0,60.0,47708.0,231811.03263821985,315657.92342284933
OR-503,Central Oregon CoC,880.0,266.0,614.0,506.0,369.0,750.0,46.0,13.0,0.0,115842,111118,4724,246452,1580.0,1493.0,87.0,53845.08334685862,253941.58396049307,369782.5070213187
OR-505,Oregon Balance of State CoC,7103.0,2064.0,5039.0,3879.0,3202.0,6228.0,755.0,137.0,22.0,701034,671660,29374,1533424,21133.0,19165.0,1968.0,44135.273245364624,196863.25803689184,278391.23602514557
OR-506,"Hillsboro, Beaverton/Washington County CoC",530.0,298.0,232.0,352.0,167.0,402.0,68.0,54.0,1.0,323903,314017,9886,600933,3952.0,3675.0,277.0,63425.0,328344.3794974646,432608.0814886918
OR-507,Clackamas County CoC,471.0,248.0,223.0,297.0,174.0,366.0,64.0,25.0,5.0,218366,211042,7324,418199,2935.0,2612.0,323.0,61375.0,313559.6307637525,432231.9868440076
PA-501,Harrisburg/Dauphin County CoC,418.0,370.0,48.0,277.0,141.0,154.0,64.0,241.0,1.0,146373,140502,5871,278427,6529.0,5941.0,588.0,52892.0,81458.36852126424,162789.60540814346
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",400.0,352.0,48.0,212.0,188.0,97.0,29.0,281.0,2.0,303714,291483,12231,566506,7103.0,6463.0,640.0,69950.0,100825.12891238276,210826.50530964436
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",164.0,157.0,7.0,75.0,89.0,102.0,21.0,56.0,0.0,160335,151281,9054,317438,9035.0,8221.0,814.0,45938.0,46457.63912855529,107104.06431519361
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",246.0,227.0,19.0,108.0,138.0,82.0,11.0,147.0,3.0,462981,446861,16120,830397,5808.0,5052.0,756.0,82176.0,194701.27092799393,305503.1769139015
PA-505,Chester County CoC,528.0,508.0,20.0,372.0,156.0,288.0,48.0,230.0,0.0,291459,282238,9221,525059,3689.0,3320.0,369.0,88403.0,223059.58019080842,355464.4624420526
PA-506,Reading/Berks County CoC,597.0,587.0,10.0,375.0,217.0,366.0,202.0,196.0,0.0,218371,208900,9471,420375,4340.0,4036.0,304.0,51606.0,96303.63117951175,174388.35458436265
PA-508,Scranton/Lackawanna County CoC,186.0,177.0,9.0,119.0,66.0,143.0,33.0,32.0,0.0,106490,101312,5178,209808,6503.0,5852.0,651.0,48388.0,56381.35425707011,119822.3570831655
PA-509,Eastern Pennsylvania CoC,1843.0,1506.0,337.0,1016.0,827.0,1364.0,328.0,390.0,6.0,1569310,1499256,70054,3106857,42582.0,38481.0,4101.0,48805.96095378706,97660.94979829146,164198.63199484817
PA-510,Lancaster City & County CoC,422.0,410.0,12.0,230.0,192.0,261.0,126.0,119.0,1.0,289026,279104,9922,545441,4086.0,3799.0,287.0,54529.0,155620.0885167744,227669.59475148984
PA-511,"Bristol, Bensalem/Bucks County CoC",359.0,338.0,21.0,159.0,198.0,239.0,45.0,97.0,2.0,349374,336057,13317,628497,5638.0,4735.0,903.0,76502.0,219097.83806915433,327174.407647692
PA-512,York City & County CoC,321.0,289.0,32.0,179.0,142.0,183.0,55.0,98.0,0.0,238988,229843,9145,449341,3506.0,3260.0,246.0,52015.0,117831.57555477374,187028.113983506
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",774.0,726.0,48.0,485.0,287.0,320.0,28.0,370.0,8.0,657807,630855,26952,1215716,34855.0,31020.0,3835.0,64718.0,69631.56160692935,153771.5542660452
PA-601,Western Pennsylvania CoC,727.0,693.0,34.0,395.0,332.0,608.0,9.0,100.0,2.0,830641,791445,39196,1687097,30189.0,27091.0,3098.0,49592.955940292704,48292.462969083754,112631.96561745825
PA-603,Beaver County CoC,123.0,117.0,6.0,64.0,59.0,68.0,7.0,46.0,0.0,84960,81133,3827,163956,3977.0,3698.0,279.0,50385.0,54358.85353440876,122592.88590508554
PA-605,Erie City & County CoC,356.0,350.0,6.0,229.0,127.0,185.0,19.0,143.0,0.0,130605,124689,5916,269529,6178.0,5683.0,495.0,46259.0,68657.37677530649,127413.68320830406
RI-500,Rhode Island Statewide CoC,1055.0,984.0,71.0,690.0,358.0,655.0,256.0,309.0,8.0,574347,554076,20271,1058158,38271.0,35638.0,2633.0,56616.43502860631,208483.50241377045,287309.300616668
SC-500,Charleston/Low Country CoC,403.0,275.0,128.0,287.0,115.0,124.0,23.0,246.0,2.0,500101,487993,12108,1085037,11946.0,10953.0,993.0,52852.76521261487,161012.3196754209,273126.28292020934
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",1401.0,895.0,506.0,888.0,512.0,711.0,45.0,613.0,4.0,710639,692238,18401,1558589,19947.0,19177.0,770.0,43788.716335737,76504.53656722272,159142.76949842676
SC-502,Columbia/Midlands CoC,1215.0,923.0,292.0,796.0,416.0,356.0,30.0,815.0,5.0,719386,698851,20535,1571594,19622.0,18316.0,1306.0,45648.36897442978,72117.68003296948,157654.25991374906
SC-503,"Myrtle Beach, Sumter City & County CoC",1153.0,362.0,791.0,676.0,477.0,602.0,22.0,486.0,3.0,394376,380724,13652,942482,11339.0,10332.0,1007.0,39371.49586941714,67667.35293687385,139856.40978732996
SD-500,South Dakota Statewide CoC,995.0,761.0,234.0,605.0,389.0,285.0,50.0,75.0,3.0,426644,415193,11451,795582,13365.0,11370.0,1995.0,56583.29525680571,120358.51307344584,195054.79989550042
TN-500,Chattanooga/Southeast Tennessee CoC,463.0,282.0,181.0,308.0,154.0,290.0,20.0,136.0,2.0,336032,324265,11767,706845,12302.0,10899.0,1403.0,45819.429222814055,86240.64480419493,165809.02032730557
TN-501,Memphis/Shelby County CoC,1325.0,1267.0,58.0,771.0,550.0,269.0,22.0,1032.0,3.0,448428,430717,17711,937070,17912.0,16837.0,1075.0,50468.0,50577.52499690382,135704.64232732158
TN-502,Knoxville/Knox County CoC,800.0,605.0,195.0,452.0,347.0,580.0,28.0,185.0,0.0,245936,238896,7040,470137,10736.0,9340.0,1396.0,52422.0,103328.27996685474,191420.70210978008
TN-503,Central Tennessee CoC,357.0,310.0,47.0,222.0,135.0,194.0,11.0,158.0,0.0,609272,590670,18602,1231886,10404.0,9959.0,445.0,53562.38516307515,144358.1292999795,246785.14849486726
TN-504,Nashville-Davidson County CoC,1986.0,1401.0,585.0,1496.0,487.0,993.0,68.0,890.0,14.0,403494,393375,10119,692999,17987.0,16008.0,1979.0,72602.0,186328.26105002736,275899.6940994144
TN-506,Upper Cumberland CoC,273.0,208.0,65.0,154.0,118.0,237.0,9.0,19.0,1.0,239627,231369,8258,527968,5105.0,4827.0,278.0,40572.93515705497,102315.2513867145,176928.3018702748
TN-507,Jackson/West Tennessee CoC,959.0,108.0,851.0,467.0,492.0,578.0,0.0,310.0,0.0,295342,283061,12281,664631,10955.0,10449.0,506.0,40265.76056638947,46342.014096896404,109886.89922035074
TN-509,Appalachian Regional CoC,405.0,256.0,149.0,261.0,144.0,371.0,22.0,32.0,0.0,226860,218168,8692,512809,8114.0,7438.0,676.0,40401.49601898563,64840.622108847376,129417.47582053121
TN-510,Murfreesboro/Rutherford County CoC,384.0,222.0,162.0,226.0,158.0,283.0,12.0,94.0,0.0,187529,182766,4763,332125,2155.0,1982.0,173.0,43095.0,186150.0395027008,257778.24231320937
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",515.0,210.0,305.0,275.0,238.0,473.0,10.0,30.0,2.0,311509,300408,11101,679970,8125.0,7539.0,586.0,40921.82307454741,85243.62070351985,160564.20732988647
TX-500,San Antonio/Bexar County CoC,2872.0,1685.0,1187.0,1813.0,1049.0,2105.0,1311.0,632.0,16.0,935537,906024,29513,2002445,26887.0,25004.0,1883.0,46569.0,114341.10918747327,187396.89308278568
TX-503,Austin/Travis County CoC,2255.0,1169.0,1086.0,1490.0,755.0,1334.0,669.0,776.0,11.0,731331,712144,19187,1273567,10198.0,9178.0,1020.0,71633.0,239457.91087478562,352296.32460816327
TX-600,"Dallas City & County, Irving CoC",4538.0,3086.0,1452.0,2999.0,1531.0,1641.0,668.0,2597.0,76.0,1900355,1836028,64327,3670675,36878.0,31578.0,5300.0,65243.42684792307,172816.65912974006,256205.37867807562
TX-601,"Fort Worth, Arlington/Tarrant County CoC",2028.0,1468.0,560.0,1299.0,723.0,1008.0,270.0,975.0,22.0,68167,66184,1983,143149,594.0,564.0,30.0,57254.0,163398.3033231329,272533.4628719393
TX-603,El Paso City & County CoC,809.0,626.0,183.0,543.0,266.0,713.0,570.0,65.0,4.0,359445,345701,13744,837501,13847.0,11631.0,2216.0,38771.0,88128.52701388445,131604.71672628328
TX-604,Waco/McLennan County CoC,193.0,124.0,69.0,121.0,72.0,103.0,38.0,76.0,0.0,164011,158404,5607,372634,5174.0,4800.0,374.0,41881.50091779065,67668.34653189674,140712.08532382848
TX-607,Texas Balance of State CoC,8072.0,3416.0,4656.0,4941.0,3095.0,5682.0,2715.0,2059.0,36.0,4209076,4042840,166236,9479597,106249.0,92905.0,13344.0,45225.43865356302,81420.81483794657,155670.0581417408
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",243.0,180.0,63.0,155.0,88.0,191.0,9.0,43.0,1.0,145918,141321,4597,334428,4259.0,3711.0,548.0,44867.502736014925,55722.607854164344,121109.21795941309
TX-700,"Houston, Pasadena, Conroe/Harris, Fort Bend, Montgomery Counties CoC",3938.0,2324.0,1614.0,2435.0,1492.0,1608.0,468.0,2157.0,25.0,683215,659712,23503,1420320,3973.0,3802.0,171.0,62683.13778303481,175408.01315199074,260312.26503347096
TX-701,"Bryan, College Station/Brazos Valley CoC",123.0,102.0,21.0,74.0,48.0,59.0,14.0,58.0,3.0,164952,159849,5103,350411,3705.0,3523.0,182.0,40827.75824674454,108046.76351443396,193554.52279759484
UT-500,Salt Lake City & County CoC,1844.0,1651.0,193.0,1161.0,668.0,1349.0,426.0,203.0,37.0,637435,621863,15572,1158585,9391.0,8545.0,846.0,55481.0,267360.3309006211,360201.37084718683
UT-503,Utah Balance of State CoC,793.0,642.0,151.0,425.0,366.0,669.0,158.0,68.0,4.0,629522,612286,17236,1331360,7269.0,6446.0,823.0,42685.058137543565,212748.82803997962,295331.12293216336
UT-504,Provo/Mountainland CoC,161.0,97.0,64.0,87.0,74.0,141.0,24.0,5.0,0.0,41263,40234,1029,76291,4.0,0.0,4.0,110586.36457773525,315849.0211508129,583944.8273365046
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",497.0,327.0,170.0,335.0,160.0,133.0,37.0,340.0,2.0,475162,462358,12804,877060,6146.0,5669.0,477.0,62590.73023054295,172318.50376952052,256300.66385090197
VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",700.0,614.0,86.0,459.0,238.0,155.0,29.0,511.0,8.0,19652,19108,544,37400,394.0,346.0,48.0,55930.0,104346.20582150902,281219.8325908736
VA-502,"Roanoke City & County, Salem CoC",319.0,304.0,15.0,197.0,122.0,170.0,11.0,128.0,1.0,19984,19468,516,38627,32.0,21.0,11.0,49397.6200585083,84168.51634249142,188711.64354560894
VA-504,Charlottesville CoC,165.0,139.0,26.0,119.0,46.0,87.0,12.0,62.0,1.0,52673,51356,1317,99511,421.0,371.0,50.0,45945.068776316184,143725.4593862583,229626.27465182074
VA-508,Lynchburg CoC,78.0,64.0,14.0,46.0,32.0,45.0,2.0,24.0,0.0,22357,21630,727,47580,144.0,130.0,14.0,38069.34527112232,87031.29081693715,159051.09132745332
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",342.0,314.0,28.0,212.0,130.0,241.0,44.0,59.0,5.0,62741,60952,1789,122305,543.0,495.0,48.0,47658.12096807163,144768.97542476567,225666.7239246404
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",221.0,185.0,36.0,129.0,92.0,94.0,21.0,90.0,1.0,102631,99766,2865,211501,644.0,592.0,52.0,53735.82100321039,234030.43161671597,334815.33367475297
VA-521,Virginia Balance of State CoC,761.0,637.0,124.0,359.0,399.0,409.0,43.0,287.0,6.0,438633,424190,14443,943368,7611.0,6969.0,642.0,43426.26836716955,89388.57737985559,167453.10052955363
VA-600,Arlington County CoC,215.0,179.0,36.0,132.0,83.0,84.0,32.0,121.0,3.0,154821,151874,2947,238392,2772.0,2550.0,222.0,98116.0,358877.39311426104,659343.5406700481
VA-602,Loudoun County CoC,167.0,96.0,71.0,101.0,66.0,91.0,16.0,62.0,7.0,227523,222301,5222,414872,963.0,616.0,347.0,80535.0,392341.0365028239,555165.1699755349
VT-500,Vermont Balance of State CoC,780.0,714.0,66.0,422.0,349.0,690.0,29.0,40.0,3.0,253920,248014,5906,460128,7932.0,6877.0,1055.0,53196.702258936646,125648.91746922766,202775.31723625134
VT-501,Burlington/Chittenden County CoC,309.0,261.0,48.0,194.0,112.0,235.0,13.0,45.0,16.0,99583,98001,1582,163918,4464.0,3839.0,625.0,61569.0,218272.25793115338,308561.4664977209
WA-500,Seattle/King County CoC,11199.0,5971.0,5228.0,6222.0,4465.0,4742.0,1632.0,3570.0,433.0,1288392,1253834,34558,2249653,34989.0,33239.0,1750.0,92026.0,390350.40354543255,614268.6185363164
WA-501,Washington Balance of State CoC,5509.0,3210.0,2299.0,3137.0,2343.0,4527.0,873.0,255.0,30.0,1074012,1015413,58599,2262796,21170.0,19182.0,1988.0,48724.85679884532,208752.0787631115,311846.4089930336
WA-502,Spokane City & County CoC,1309.0,994.0,315.0,789.0,511.0,956.0,108.0,121.0,3.0,257459,243815,13644,522231,7330.0,7036.0,294.0,46902.0,183120.28050110667,270374.9328771112
WA-503,"Tacoma, Lakewood/Pierce County CoC",1486.0,857.0,629.0,911.0,572.0,800.0,206.0,320.0,21.0,446672,423491,23181,905719,9685.0,8910.0,775.0,52496.0,286872.261069194,377080.31149129156
WA-504,Everett/Snohomish County CoC,1116.0,517.0,599.0,607.0,502.0,830.0,163.0,95.0,12.0,438686,425807,12879,822413,8596.0,8338.0,258.0,57900.0,352934.6510901495,486142.83566983684
WA-508,Vancouver/Clark County CoC,958.0,471.0,487.0,524.0,427.0,735.0,89.0,75.0,11.0,246958,235243,11715,489271,4099.0,3566.0,533.0,54930.0,291077.50384098676,369327.6737750387
WI-500,Wisconsin Balance of State CoC,2875.0,2781.0,94.0,1531.0,1334.0,1890.0,261.0,482.0,32.0,2148490,2081132,67358,3997691,44299.0,39183.0,5116.0,52698.51139395216,113947.57485722324,187134.85782955337
WI-501,Milwaukee City & County CoC,885.0,771.0,114.0,587.0,297.0,282.0,97.0,552.0,3.0,466224,448434,17790,947011,22173.0,19955.0,2218.0,48107.0,88772.77434356186,160164.18519415054
WI-502,Racine City & County CoC,200.0,188.0,12.0,123.0,77.0,114.0,14.0,71.0,1.0,98613,94769,3844,196204,3036.0,2914.0,122.0,50729.0,98466.2443391878,169536.2657828563
WI-503,Madison/Dane County CoC,578.0,503.0,75.0,337.0,239.0,259.0,42.0,288.0,6.0,324955,317425,7530,547637,6405.0,5828.0,577.0,63683.0,204849.3512145971,296924.76637262537
WV-500,"Wheeling, Weirton Area CoC",136.0,127.0,9.0,77.0,59.0,110.0,8.0,14.0,5.0,64962,61407,3555,138072,3946.0,3465.0,481.0,47832.083260907355,39812.027265978606,91797.37382961187
WV-501,"Huntington/Cabell, Wayne Counties CoC",171.0,122.0,49.0,100.0,71.0,144.0,1.0,22.0,0.0,57113,54520,2593,131449,4192.0,3897.0,295.0,41269.2275331117,40356.31002575593,95906.66886033086
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",293.0,291.0,2.0,201.0,92.0,196.0,3.0,96.0,1.0,119863,114190,5673,264758,6470.0,6293.0,177.0,47798.67674253469,56191.91655879005,110113.97996596388
WV-508,West Virginia Balance of State CoC,797.0,609.0,188.0,490.0,307.0,711.0,23.0,58.0,2.0,553368,525795,27573,1260984,19371.0,17546.0,1825.0,40932.646888461706,61670.45816257283,117604.3378393675
WY-500,Wyoming Statewide CoC,548.0,423.0,125.0,376.0,172.0,456.0,67.0,31.0,0.0,293318,282431,10887,580116,5695.0,5343.0,352.0,61064.561061925546,161703.14404990873,255130.38698451838
